actual_profit,ask,bid,closed,date,deal,ecc,entry_ema,etf,expected_profit,fast_ema,name,order,price,rr,slow_ema,symbol,tcc,time,trend,ttf,volume,win
5.8,0,0,TRUE,24/01/2024,0,600,5,M1,5.7,8,FingerTrap,1168104882,0,1.5,20,NZDUSD-T,50,08:55:01,3,M5,0.05,TRUE
-6.27,0,0,TRUE,24/01/2024,0,600,5,M1,7.92,8,FingerTrap,1168104885,0,2,20,EURUSD-T,50,55:00.9,3,M5,0.33,FALSE
7.75,0,0,TRUE,24/01/2024,0,600,5,M1,7.6,8,FingerTrap,1168104884,0,2,20,NZDUSD-T,50,08:55:01,3,M5,0.05,TRUE
-3.9,0,0,TRUE,24/01/2024,0,600,5,M1,9.5,8,FingerTrap,1168105682,0,2.5,20,NZDUSD-T,50,07:00.3,3,M5,0.05,FALSE
5.7,0,0,TRUE,24/01/2024,0,600,5,M1,5.7,8,FingerTrap,1168105685,0,1.5,20,NZDUSD-T,50,09:07:00,3,M5,0.05,TRUE
7.6,0,0,TRUE,24/01/2024,0,600,5,M1,7.6,8,FingerTrap,1168105686,0,2,20,NZDUSD-T,50,09:07:00,3,M5,0.05,TRUE
-3.85,0,0,TRUE,24/01/2024,0,600,5,M1,9.5,8,FingerTrap,1168106203,0,2.5,20,NZDUSD-T,50,10:00.7,3,M5,0.05,FALSE
9.9,0,0,TRUE,24/01/2024,0,600,5,M1,10,8,FingerTrap,1168106209,0,2.5,20,AUDUSD-T,50,09:10:01,3,M5,0.1,TRUE
5.7,0,0,TRUE,24/01/2024,0,600,5,M1,5.7,8,FingerTrap,1168106213,0,1.5,20,NZDUSD-T,50,09:10:01,3,M5,0.05,TRUE
5.9,0,0,TRUE,24/01/2024,0,600,5,M1,6,8,FingerTrap,1168106215,0,1.5,20,AUDUSD-T,50,09:10:01,3,M5,0.1,TRUE
7.9,0,0,TRUE,24/01/2024,0,600,5,M1,8,8,FingerTrap,1168106220,0,2,20,AUDUSD-T,50,09:10:01,3,M5,0.1,TRUE
7.6,0,0,TRUE,24/01/2024,0,600,5,M1,7.6,8,FingerTrap,1168106218,0,2,20,NZDUSD-T,50,09:10:01,3,M5,0.05,TRUE
10.2,0,0,TRUE,24/01/2024,0,600,5,M1,10,8,FingerTrap,1168106402,0,2.5,20,GBPUSD-T,50,09:14:00,3,M5,0.1,TRUE
6.3,0,0,TRUE,24/01/2024,0,600,5,M1,6,8,FingerTrap,1168106403,0,1.5,20,GBPUSD-T,50,09:14:00,3,M5,0.1,TRUE
8.5,0,0,TRUE,24/01/2024,0,600,5,M1,8,8,FingerTrap,1168106404,0,2,20,GBPUSD-T,50,09:14:00,3,M5,0.1,TRUE
-3.81,0,0,TRUE,24/01/2024,0,600,5,M1,9.52,8,FingerTrap,1168106405,0,2.5,20,USDCAD-T,50,14:00.6,3,M5,0.08,FALSE
-3.81,0,0,TRUE,24/01/2024,0,600,5,M1,5.71,8,FingerTrap,1168106406,0,1.5,20,USDCAD-T,50,14:00.7,3,M5,0.08,FALSE
-3.81,0,0,TRUE,24/01/2024,0,600,5,M1,7.61,8,FingerTrap,1168106407,0,2,20,USDCAD-T,50,14:00.8,3,M5,0.08,FALSE
-3.81,0,0,TRUE,24/01/2024,0,600,5,M1,9.52,8,FingerTrap,1168106541,0,2.5,20,USDCAD-T,50,15:00.6,3,M5,0.08,FALSE
-3.87,0,0,TRUE,24/01/2024,0,600,5,M1,5.71,8,FingerTrap,1168106556,0,1.5,20,USDCAD-T,50,15:01.1,3,M5,0.08,FALSE
-3.93,0,0,TRUE,24/01/2024,0,600,5,M1,7.61,8,FingerTrap,1168106559,0,2,20,USDCAD-T,50,15:01.3,3,M5,0.08,FALSE
-4.88,0,0,TRUE,24/01/2024,0,600,5,M1,9.76,8,FingerTrap,1168106760,0,2.5,20,USDJPY-T,50,17:00.6,3,M5,0.18,FALSE
-3.8,0,0,TRUE,24/01/2024,0,600,5,M1,9.5,8,FingerTrap,1168106756,0,2.5,20,NZDUSD-T,50,17:00.6,3,M5,0.05,FALSE
5.75,0,0,TRUE,24/01/2024,0,600,5,M1,5.7,8,FingerTrap,1168106762,0,1.5,20,NZDUSD-T,50,09:17:01,3,M5,0.05,TRUE
7.65,0,0,TRUE,24/01/2024,0,600,5,M1,7.6,8,FingerTrap,1168106763,0,2,20,NZDUSD-T,50,09:17:01,3,M5,0.05,TRUE
5.13,0,0,TRUE,24/01/2024,0,600,5,M1,5.86,8,FingerTrap,1168106761,0,1.5,20,USDJPY-T,50,09:17:01,3,M5,0.18,TRUE
7.45,0,0,TRUE,24/01/2024,0,600,5,M1,7.81,8,FingerTrap,1168106764,0,2,20,USDJPY-T,50,09:17:01,3,M5,0.18,TRUE
10,0,0,TRUE,24/01/2024,0,600,5,M1,10,8,FingerTrap,1168107597,0,2.5,20,AUDUSD-T,50,09:27:00,3,M5,0.1,TRUE
6,0,0,TRUE,24/01/2024,0,600,5,M1,6,8,FingerTrap,1168107598,0,1.5,20,AUDUSD-T,50,09:27:00,3,M5,0.1,TRUE
8,0,0,TRUE,24/01/2024,0,600,5,M1,8,8,FingerTrap,1168107599,0,2,20,AUDUSD-T,50,09:27:00,3,M5,0.1,TRUE
-3.3,0,0,TRUE,24/01/2024,0,600,5,M1,9.76,8,FingerTrap,1168107746,0,2.5,20,USDJPY-T,50,29:00.7,3,M5,0.18,FALSE
-4.34,0,0,TRUE,24/01/2024,0,600,5,M1,9.52,8,FingerTrap,1168107859,0,2.5,20,USDCAD-T,50,30:01.1,3,M5,0.08,FALSE
-4.16,0,0,TRUE,24/01/2024,0,600,5,M1,5.71,8,FingerTrap,1168107896,0,1.5,20,USDCAD-T,50,30:02.0,3,M5,0.08,FALSE
-4.16,0,0,TRUE,24/01/2024,0,600,5,M1,7.62,8,FingerTrap,1168107910,0,2,20,USDCAD-T,50,30:02.1,3,M5,0.08,FALSE
-3.05,0,0,TRUE,24/01/2024,0,600,5,M1,9.76,8,FingerTrap,1168107904,0,2.5,20,USDJPY-T,50,30:02.1,3,M5,0.18,FALSE
-4.64,0,0,TRUE,24/01/2024,0,600,5,M1,10.31,8,FingerTrap,1168109033,0,2.5,20,USDJPY-T,50,35:00.4,3,M5,0.19,FALSE
6.19,0,0,TRUE,24/01/2024,0,600,5,M1,6.18,8,FingerTrap,1168109036,0,1.5,20,USDJPY-T,50,09:35:00,3,M5,0.19,TRUE
8.25,0,0,TRUE,24/01/2024,0,600,5,M1,8.25,8,FingerTrap,1168109038,0,2,20,USDJPY-T,50,09:35:01,3,M5,0.19,TRUE
-5.32,0,0,TRUE,24/01/2024,0,600,5,M1,13.3,8,FingerTrap,1168112158,0,2.5,20,NZDUSD-T,50,09:00.4,3,M5,0.07,FALSE
-5.33,0,0,TRUE,24/01/2024,0,600,5,M1,13,8,FingerTrap,1168112159,0,2.5,20,GBPUSD-T,50,09:00.5,3,M5,0.13,FALSE
-5.32,0,0,TRUE,24/01/2024,0,600,5,M1,7.98,8,FingerTrap,1168112160,0,1.5,20,NZDUSD-T,50,09:00.5,3,M5,0.07,FALSE
-5.32,0,0,TRUE,24/01/2024,0,600,5,M1,10.64,8,FingerTrap,1168112162,0,2,20,NZDUSD-T,50,09:00.7,3,M5,0.07,FALSE
-5.33,0,0,TRUE,24/01/2024,0,600,5,M1,7.8,8,FingerTrap,1168112163,0,1.5,20,GBPUSD-T,50,09:00.7,3,M5,0.13,FALSE
