actual_profit,ask,bid,closed,closer,date,deal,ecc,entry_ema,etf,expected_profit,fast_ema,name,order,price,slow_ema,symbol,tcc,time,ttf,volume,win
0,6656.38,6656.206,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981592387,1440,5,M5,6.0,8,FingerTrap,5084460705,6656.38,20,Volatility 10 Index,720,16:20:02.211783,H1,0.5,False
0,1507.81,1507.36,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981598039,1440,5,M5,6.0,8,FingerTrap,5084466544,1507.81,20,Volatility 100 (1s) Index,720,16:30:02.395098,H1,0.2,False
0,258.4653,258.4303,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981603939,1440,5,M5,6.0,8,FingerTrap,5084472591,258.4303,20,Volatility 50 Index,720,16:40:02.351948,H1,4.0,False
0,186248.72,186226.41,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981609567,1440,5,M5,6.0,8,FingerTrap,5084478460,186248.72,20,Volatility 50 (1s) Index,720,16:50:01.220894,H1,0.005,False
0,8541.27,8539.86,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981615347,1440,5,M5,6.0,8,FingerTrap,5084484403,8539.86,20,Volatility 75 (1s) Index,720,17:00:05.338159,H1,0.05,False
0,257.6922,257.6572,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981636837,1440,5,M5,6.0,8,FingerTrap,5084505988,257.6572,20,Volatility 50 Index,720,17:35:02.247147,H1,4.0,False
0,229213.54,229163.21,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981648002,1440,5,M5,6.0,8,FingerTrap,5084517309,229163.21,20,Volatility 75 Index,720,17:55:02.226159,H1,0.001,False
0,257.4122,257.3772,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981650962,1440,5,M5,6.0,8,FingerTrap,5084520331,257.3772,20,Volatility 50 Index,720,18:00:02.587691,H1,4.0,False
0,2273.936,2273.784,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981651022,1440,5,M5,6.0,8,FingerTrap,5084520390,2273.784,20,Volatility 25 Index,720,18:00:04.461052,H1,0.5,False
0,228836.96,228786.63,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981654053,1440,5,M5,6.0,8,FingerTrap,5084523401,228786.63,20,Volatility 75 Index,720,18:05:02.224279,H1,0.001,False
0,548751.15,548714.74,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981660102,1440,5,M5,6.0,8,FingerTrap,5084529396,548751.15,20,Volatility 25 (1s) Index,720,18:15:01.672162,H1,0.005,False
0,8406.24,8404.83,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981698533,1440,5,M5,6.0,8,FingerTrap,5084568027,8404.83,20,Volatility 75 (1s) Index,720,19:25:01.204118,H1,0.05,False
