actual_profit,ask,bid,closed,closer,date,deal,ecc,etf,expected_profit,first_ema,name,order,price,rsi_length,second_ema,sma_length,symbol,tcc,time,trend,ttf,volume,win
0,9655.08,9654.82,False,<function ema_closer at 0x000001AB05582520>,2024-04-05,3761379036,2880,M15,12.0,8,Momentum,3846570176,9655.08,9,16,15,Volatility 10 (1s) Index,720,06:00:03.270355,2,H4,0.5,False
0,539667.19,539630.78,False,<function ema_closer at 0x000001AB05582520>,2024-04-05,3761393610,2880,M15,12.0,8,Momentum,3846585233,539630.78,9,16,15,Volatility 25 (1s) Index,720,06:15:01.389103,2,H4,0.005,False
0,1597.66,1597.21,False,<function ema_closer at 0x000001AB05582520>,2024-04-05,3761477167,2880,M15,12.0,8,Momentum,3846669856,1597.66,9,16,15,Volatility 100 (1s) Index,720,07:30:03.223735,2,H4,0.2,False
0,267.1292,267.0942,False,<function ema_closer at 0x000001AB05582520>,2024-04-05,3761477106,2880,M15,12.0,8,Momentum,3846669804,267.1292,9,16,15,Volatility 50 Index,720,07:30:03.317483,2,H4,4.0,False
0,268.3022,268.2672,False,<function ema_closer at 0x000001AB05582520>,2024-04-05,3761895584,2880,M15,12.0,8,Momentum,3847096723,268.3022,9,16,15,Volatility 50 Index,720,13:00:04.276410,2,H4,4.0,False
0,9686.87,9686.61,False,<function ema_closer at 0x000001AB05582520>,2024-04-05,3761916398,2880,M15,12.0,8,Momentum,3847118434,9686.87,9,16,15,Volatility 10 (1s) Index,720,13:15:02.295592,2,H4,0.5,False
0,219820.33,219766.64,False,<function ema_closer at 0x000001AB05582520>,2024-04-05,3761938393,2880,M15,12.0,8,Momentum,3847141226,219766.64,9,16,15,Volatility 75 Index,720,13:30:02.314822,2,H4,0.001,False
0,8049.85,8048.23,False,<function ema_closer at 0x000001AB05582520>,2024-04-05,3761983443,2880,M15,12.0,8,Momentum,3847188010,8048.23,9,16,15,Volatility 75 (1s) Index,720,14:00:02.228793,2,H4,0.05,False
0,535278.79,535243.27,False,<function ema_closer at 0x000001AB05582520>,2024-04-05,3762005155,2880,M15,12.0,8,Momentum,3847210237,535243.27,9,16,15,Volatility 25 (1s) Index,720,14:15:02.263520,2,H4,0.005,False
0,9637.02,9636.76,False,<function ema_closer at 0x000001AB05582520>,2024-04-05,3762259291,2880,M15,12.0,8,Momentum,3847469782,9637.02,9,16,15,Volatility 10 (1s) Index,720,17:30:02.255289,2,H4,0.5,False
0,7978.01,7976.39,False,<function ema_closer at 0x0000022D63C225C0>,2024-04-06,3763324027,2880,M15,12.0,8,Momentum,3848570014,7976.39,9,16,15,Volatility 75 (1s) Index,720,12:45:01.128963,2,H4,0.05,False
0,9744.14,9743.88,False,<function ema_closer at 0x0000022D63C225C0>,2024-04-06,3763604870,2880,M15,12.0,8,Momentum,3848859223,9744.14,9,16,15,Volatility 10 (1s) Index,720,16:30:01.131987,2,H4,0.5,False
0,271.3452,271.3102,False,<function ema_closer at 0x0000022D63C225C0>,2024-04-06,3763661348,2880,M15,12.0,8,Momentum,3848917300,271.3452,9,16,15,Volatility 50 Index,720,17:15:02.155149,2,H4,4.0,False
0,2310.081,2309.928,False,<function ema_closer at 0x0000022D63C225C0>,2024-04-06,3763736716,2880,M15,12.0,8,Momentum,3848995972,2310.081,9,16,15,Volatility 25 Index,720,18:15:02.157089,2,H4,0.5,False
0,184221.9,184196.93,False,<function ema_closer at 0x0000022D63C225C0>,2024-04-06,3763736802,2880,M15,12.0,8,Momentum,3848996021,184196.93,9,16,15,Volatility 50 (1s) Index,720,18:15:04.156387,2,H4,0.005,False
0,534112.63,534077.11,False,<function ema_closer at 0x0000022D63C225C0>,2024-04-06,3763843813,2880,M15,12.0,8,Momentum,3849106105,534077.11,9,16,15,Volatility 25 (1s) Index,720,19:45:02.156141,2,H4,0.005,False
0,2317.024,2316.871,False,<function ema_closer at 0x0000022D63C225C0>,2024-04-06,3763914868,2880,M15,12.0,8,Momentum,3849179592,2317.024,9,16,15,Volatility 25 Index,720,20:45:02.148337,2,H4,0.5,False
0,185545.25,185520.28,False,<function ema_closer at 0x0000022D63C225C0>,2024-04-06,3763994677,2880,M15,12.0,8,Momentum,3849262106,185520.28,9,16,15,Volatility 50 (1s) Index,720,22:00:03.142008,2,H4,0.005,False
