actual_profit,ask,bid,closed,date,deal,ecc,entry_ema,etf,expected_profit,fast_ema,name,order,price,slow_ema,symbol,tcc,time,trend,ttf,used_fractal,volume,win
0,210982.79,210960.05,False,2024-01-24,1940925396,600,5,M5,22.57,8,FingerFractal,5042144409,210982.79,20,Volatility 50 (1s) Index,50,17:25:00.274463,3,H1,True,0.014,False
0,514984.76,514954.92,False,2024-01-24,1940925397,600,5,M5,22.94,8,FingerFractal,5042144426,514954.92,20,Volatility 25 (1s) Index,50,17:25:00.354810,3,H1,True,0.018,False
0,1962.355,1962.236,False,2024-01-24,1940935681,600,5,M5,23.97,8,FingerFractal,5042155765,1962.236,20,Volatility 25 Index,50,17:50:00.182327,3,H1,True,6.53,False
0,211748.34,211725.6,False,2024-01-24,1940962830,600,5,M5,23.76,8,FingerFractal,5042185178,211748.34,20,Volatility 50 (1s) Index,50,18:55:00.393278,3,H1,True,0.011,False
0,227.9965,227.9675,False,2024-01-24,1940964316,600,5,M5,23.99,8,FingerFractal,5042186867,227.9675,20,Volatility 50 Index,50,19:00:01.762708,3,H1,True,19.27,False
0,6757.363,6757.2,False,2024-01-24,1940974904,600,5,M5,23.95,8,FingerFractal,5042198385,6757.2,20,Volatility 10 Index,50,19:30:00.711088,3,H1,True,2.9,False
0,225.9752,225.9462,False,2024-01-24,1940996418,600,5,M5,23.99,8,FingerFractal,5042221671,225.9462,20,Volatility 50 Index,50,20:25:00.455818,3,H1,True,8.72,False
0,9331.23,9331.01,False,2024-01-24,1940996430,600,5,M5,23.98,8,FingerFractal,5042221690,9331.01,20,Volatility 10 (1s) Index,50,20:25:00.533557,3,H1,True,6.66,False
0,8173.0,8171.47,False,2024-01-24,1940999841,600,5,M5,23.93,8,FingerFractal,5042225477,8171.47,20,Volatility 75 (1s) Index,50,20:35:00.354879,3,H1,True,0.167,False
0,6749.668,6749.505,False,2024-01-24,1941001121,600,5,M5,23.96,8,FingerFractal,5042226932,6749.505,20,Volatility 10 Index,50,20:40:00.278730,3,H1,True,2.58,False
